id,resort_name,town,prefecture,latitude,longitude,url_path,name_ja,address_ja
26,Chikusa Kogen,Shiso,Hyogo,35.2186928,134.3877563,hyogo/shiso/chikusa-kogen-nature-land,ちくさ高原,(兵庫県 宍粟市)
27,Chokai Kogen Yashima,Yurihonjo,Akita,39.1908349,140.0921195,akita/yurihonjo/chokai-kogen-yashima,鳥海高原 矢島,(秋田県 由利本荘市)
30,Dynaland,Gujo,Gifu,35.9903753,136.8702425,gifu/gujo/dynaland,ダイナランド,(岐阜県 郡上市)
32,Engaru Rock Valley,Engaru,Hokkaido,44.0219349,143.4958419,hokkaido/engaru/engaru-rock-valley,えんがるロックバレー,(北海道 遠軽町)
33,Fairy Land Kaneyama,Kaneyama,Fukushima,37.4447465,139.5351143,fukushima/kaneyama-fukushima/fairy-land-kaneyama,フェアリーランドかねやま,(福島県 金山町)
37,Fujiwara,Minakami,Gunma,36.8966897,139.0817124,gunma/minakami/minakami-kogen-fujiwara,藤原,(群馬県 みなかみ町)
38,Fujiyama Snow Resort Yeti,Susono,Shizuoka,35.300021,138.768364,shizuoka/susono/snow-town-yeti,フジヤマ スノーリゾート イエティ,(静岡県 裾野市)
55,Hakkai Sanroku,Minamiuonuma,Niigata,37.1545927,138.9740149,niigata/minamiuonuma/hakkai-sanroku,八海山麓,(新潟県 南魚沼市)
56,Hakkoda,Aomori,Aomori,40.6647741,140.912122,aomori/aomori/hakkoda,八甲田,(青森県 青森市)
57,Hakodate Nanae Snow Park,Nanae,Hokkaido,41.9865313,140.7467111,hokkaido/nanae/hakodate-nanae-snow-park,函館七飯スノーパーク,(北海道 七飯町)
58,Hakodateyama,Takashima,Shiga,35.4276315,135.9959043,shiga/takashima/hakodateyama,箱館山,(滋賀県 高島市)
59,Hakuba 47 Winter Sports Park,Hakuba,Nagano,36.685,137.8283333,nagano/hakuba/hakuba-47-winter-sports-park,Hakuba47ウインタースポーツパーク,(長野県 白馬村)
60,Hakuba Cortina,Otari,Nagano,36.7763409,137.8886568,nagano/otari/hakuba-cortina,白馬コルチナ,(長野県 小谷村)
61,Hakuba Happo-one,Hakuba,Nagano,36.7022164,137.833887,nagano/hakuba/hakuba-happo-one,白馬八方尾根,(長野県 白馬村)
62,Hakuba Iwatake Snow Field,Hakuba,Nagano,36.715276,137.85706,nagano/hakuba/hakuba-iwatake-snow-field,白馬岩岳スノーフィールド,(長野県 白馬村)
63,Hakuba Norikura Onsen,Otari,Nagano,36.7658832,137.8739806,nagano/otari/hakuba-norikura-onsen,白馬乗鞍温泉,(長野県 小谷村)
65,Hakuba Valley Kashimayari,Omachi,Nagano,36.5969431,137.8254561,nagano/omachi/kashimayari-sports-village,HAKUBA VALLEY鹿島槍,(長野県 大町市)
66,Hakusan Ichirino Onsen,Hakusan,Ishikawa,36.2684053,136.7165704,ishikawa/hakusan/hakusan-ichirino-onsen,白山一里野温泉,(石川県 白山市)
67,Hakusan Seymour,Hakusan,Ishikawa,36.3470779,136.6777617,ishikawa/hakusan/hakusan-seymour,白山セイモア,(石川県 白山市)
68,Hanagasa Kogen,Obanazawa,Yamagata,38.5367155,140.5087916,yamagata/obanazawa/hanagasa-kogen,花笠高原,(山形県 尾花沢市)
69,Hanawa,Kazuno,Akita,40.2075515,140.8429539,akita/kazuno/hanawa,花輪,(秋田県 鹿角市)
70,Hidafunayama Snow Resort Alcopia,Takayama,Gifu,36.0392401,137.2612545,gifu/takayama-gifu/hidafunayama-snow-resort-alcopia,ひだ舟山スノーリゾートアルコピア,(岐阜県 高山市)
71,Hidaka Kokusai,Hidaka,Hokkaido,42.8705009,142.4465299,hokkaido/hidaka/hidaka-kokusai,日高国際,(北海道 日高町)
72,Hiraya Kogen,Hiraya,Nagano,35.3232905,137.6302506,nagano/hiraya/hiraya-kogen,平谷高原,(長野県 平谷村)
73,Hirayu Onsen,Takayama,Gifu,36.1845001,137.557011,gifu/takayama-gifu/hirayu-onsen,平湯温泉,(岐阜県 高山市)
74,Hirugano Kogen,Gujo,Gifu,36.0060101,136.9078445,gifu/gujo/hirugano-kogen,ひるがの高原,(岐阜県 郡上市)
75,Hiruzen Bear Valley,Maniwa,Okayama,35.2612212,133.5963226,okayama/maniwa/hiruzen-bear-valley,ひるぜんベアバレー,(岡山県 真庭市)
76,Hiruzen Kids Snow Park,Maniwa,Okayama,35.3226018,133.6809349,okayama/maniwa/hiruzen-kids-snow-park,ひるぜんキッズスノーパーク,(岡山県 真庭市)
78,Hoshino Resort Alts Bandai,Bandai,Fukushima,37.5857807,140.0336165,fukushima/bandai/hoshino-resort-alts-bandai,アルツ磐梯,(福島県 磐梯町)
80,Hoshino Resort Urabandai Nekoma,Kita Shiobara,Fukushima,37.651018,140.0624219,fukushima/kita-shiobara/urabandai-nekoma,星野リゾート 裏磐梯猫魔,(福島県 北塩原村)
81,Hounokidaira,Takayama,Gifu,36.1758065,137.4910015,gifu/takayama-gifu/hounokidaira,ほおのき平,(岐阜県 高山市)
82,Hunter Mountain Shiobara,Nasu Shiobara,Tochigi,36.9381364,139.7539208,tochigi/nasu-shiobara/hunter-mountain-shiobara,ハンターマウンテン塩原,(栃木県 那須塩原市)
83,Hyonosen Kokusai,Yabu,Hyogo,35.369888,134.539221,hyogo/yabu/hyonosen-kokusai,氷ノ山国際,(兵庫県 養父市)
84,Hyperbowl Tohachi,Yabu,Hyogo,35.3858828,134.5665393,hyogo/yabu/hyperbowl-tohachi,ハイパーボウル東鉢,(兵庫県 養父市)
85,Iizuna Resort,Iizuna,Nagano,36.737546,138.170689,nagano/iizuna/iizuna-resort,いいづなリゾート,(長野県 飯綱町)
86,Ikawa Skijo Kainayama,Miyoshi,Tokushima,33.9510606,133.8922281,tokushima/miyoshi/ikawa-skijo-kainayama,井川スキー場腕山,(徳島県 三好市)
87,Ikenotaira Onsen,Myoko,Niigata,36.8725467,138.171897,niigata/myoko/ikenotaira-onsen,池の平温泉,(新潟県 妙高市)
88,Imajo 365,Minami Echizen,Fukui,35.7232687,136.1483891,fukui/minami-echizen/imajo-365,今庄365,(福井県 南越前町)
89,Inawashiro,Inawashiro,Fukushima,37.4968398,140.0620321,fukushima/inawashiro/inawashiro,猪苗代,(福島県 猪苗代町)
90,Inawashiro Resort,Inawashiro,Fukushima,37.5780572,140.0604577,fukushima/inawashiro/inawashiro-resort,猪苗代リゾート,(福島県 猪苗代町)
91,IOX-AROSA,Nanto,Toyama,36.5151234,136.8221672,toyama/nanto/iox-arosa,イオックス・アローザ,(富山県 南砺市)
97,Iwate Kogen Snow Park,Shizukuishi,Iwate,39.813893,140.9662195,iwate/shizukuishi/iwate-kogen-snow-park,岩手高原スノーパーク,(岩手県 雫石町)
98,Jeunesse Kurikoma,Higashinaruse,Akita,39.1589601,140.7262223,akita/higashinaruse/jeunesse-kurikoma,ジュネス栗駒,(秋田県 東成瀬村)
99,Jibuzaka Kogen,Achi,Nagano,35.3713089,137.6602824,nagano/achi/jibuzaka-kogen,治部坂高原,(長野県 阿智村)
101,Joetsu Kokusai,Minamiuonuma,Niigata,37.0322462,138.8213625,niigata/minamiuonuma/joetsu-kokusai,上越国際,(新潟県 南魚沼市)
102,Kagamiganaru,Kofu,Tottori,35.3442525,133.5913739,tottori/kofu/kagamiganaru,鏡ヶ成,(鳥取県 江府町)
103,Kagura,Yuzawa,Niigata,36.8598524,138.7265013,niigata/yuzawa/kagura,かぐら,(新潟県 湯沢町)
104,Kaida Kogen Mia,Kiso,Nagano,35.9302824,137.5300732,nagano/kiso/kaida-kogen-mia,開田高原マイア,(長野県 木曽町)
105,Kamui Ski Links,Asahikawa,Hokkaido,43.704967,142.187102,hokkaido/asahikawa/kamui-ski-links,カムイスキーリンクス,(北海道 旭川市)
110,Kawaba,Kawaba,Gunma,36.769623,139.109315,gunma/kawaba/kawaba,川場,(群馬県 川場村)
111,Kazawa Snow Area,Tsumagoi,Gunma,36.4713596,138.4296237,gunma/tsumagoi/kazawa-snow-area,鹿沢スノーエリア,(群馬県 嬬恋村)
112,Kiroro,Akaigawa,Hokkaido,43.0756111,140.9823481,hokkaido/akaigawa/kiroro-snow-world,キロロスノーワールド,(北海道 赤井川村)
113,Kita Shiga Komaruyama,Yamanouchi,Nagano,36.794799,138.448638,nagano/yamanouchi/kita-shiga-komaruyama,北志賀小丸山,(長野県 山之内町)
